id,question,correct,wrong1,wrong2,wrong3,category
1,介護予防・日常生活総合事業を規定する法律は？,介護保険法,母子保健法,労働安全衛生法,健康増進法,法律
2,管理栄養士・栄養士の免許を規定する法律は？,栄養士法,地域保健法,学校保健安全法,食育基本法,法律
3,特定健康診査・特定保健指導を規定する法律は？,高齢者の医療の確保に関する法律,児童福祉法,介護保険法,食品衛生法,法律
4,健康増進事業実施者を規定する法律は？,健康増進法,栄養士法,労働安全衛生法,母子保健法,法律
5,受動喫煙の防止を規定する法律は？,健康増進法,食育基本法,地域保健法,学校保健安全法,法律
6,特別用途食品・保健機能食品を規定する法律は？,健康増進法,食品衛生法,食品表示法,栄養士法,法律
7,栄養表示基準を規定する法律は？,健康増進法,食品安全基本法,食品表示法,食育基本法,法律
8,国民健康・栄養調査を規定する法律は？,健康増進法,地域保健法,母子保健法,児童福祉法,法律
9,食育推進基本計画を規定する法律は？,食育基本法,健康増進法,学校保健安全法,栄養士法,法律
10,学校における食育の推進を規定する法律は？,食育基本法,学校保健安全法,児童福祉法,食品衛生法,法律
11,健康日本21を規定する法律は？,健康増進法,地域保健法,高齢者の医療の確保に関する法律,食育基本法,法律
12,乳幼児の栄養指導を規定する法律は？,母子保健法,児童福祉法,学校保健安全法,健康増進法,法律
13,妊産婦の栄養指導を規定する法律は？,母子保健法,健康増進法,地域保健法,食育基本法,法律
14,学校給食の実施を規定する法律は？,学校給食法,学校保健安全法,食育基本法,児童福祉法,法律
15,学校給食摂取基準を規定する法律は？,学校給食法,栄養士法,健康増進法,食育基本法,法律
16,栄養教諭を規定する法律は？,学校給食法,学校保健安全法,食育基本法,栄養士法,法律
17,保育所における食事の提供を規定する法律は？,児童福祉法,母子保健法,学校給食法,健康増進法,法律
18,労働者の健康診断を規定する法律は？,労働安全衛生法,健康増進法,高齢者の医療の確保に関する法律,地域保健法,法律
19,労働者の栄養改善を規定する法律は？,労働安全衛生法,健康増進法,食育基本法,栄養士法,法律
20,保健所の設置を規定する法律は？,地域保健法,健康増進法,母子保健法,食品衛生法,法律
21,市町村保健センターの設置を規定する法律は？,地域保健法,健康増進法,介護保険法,母子保健法,法律
22,地域保健対策の推進を規定する法律は？,地域保健法,健康増進法,高齢者の医療の確保に関する法律,食育基本法,法律
23,食品の安全性の確保を規定する法律は？,食品安全基本法,食品衛生法,食品表示法,健康増進法,法律
24,食品添加物の使用基準を規定する法律は？,食品衛生法,食品安全基本法,食品表示法,健康増進法,法律
25,HACCP（ハサップ）を規定する法律は？,食品衛生法,食品安全基本法,食品表示法,食育基本法,法律
26,食品の表示基準を規定する法律は？,食品表示法,食品衛生法,健康増進法,食品安全基本法,法律
27,アレルギー表示を規定する法律は？,食品表示法,食品衛生法,食品安全基本法,健康増進法,法律
28,栄養成分表示を規定する法律は？,食品表示法,健康増進法,食品衛生法,栄養士法,法律
29,機能性表示食品を規定する法律は？,食品表示法,健康増進法,食品衛生法,食品安全基本法,法律
30,医療保険制度を規定する法律は？,高齢者の医療の確保に関する法律,健康増進法,介護保険法,地域保健法,法律
31,後期高齢者医療制度を規定する法律は？,高齢者の医療の確保に関する法律,介護保険法,健康増進法,母子保健法,法律
32,メタボリックシンドロームの予防を規定する法律は？,高齢者の医療の確保に関する法律,健康増進法,食育基本法,栄養士法,法律
33,介護サービスの提供を規定する法律は？,介護保険法,高齢者の医療の確保に関する法律,地域保健法,健康増進法,法律
34,介護予防サービスを規定する法律は？,介護保険法,高齢者の医療の確保に関する法律,健康増進法,地域保健法,法律
35,地域包括支援センターを規定する法律は？,介護保険法,地域保健法,高齢者の医療の確保に関する法律,母子保健法,法律
36,障害者の自立支援を規定する法律は？,障害者総合支援法,児童福祉法,介護保険法,母子保健法,法律
37,障害福祉サービスを規定する法律は？,障害者総合支援法,介護保険法,地域保健法,健康増進法,法律
38,生活困窮者の自立支援を規定する法律は？,生活困窮者自立支援法,生活保護法,障害者総合支援法,介護保険法,法律
39,生活保護制度を規定する法律は？,生活保護法,生活困窮者自立支援法,障害者総合支援法,児童福祉法,法律
40,最低生活費を規定する法律は？,生活保護法,生活困窮者自立支援法,健康増進法,労働安全衛生法,法律
41,児童虐待の防止を規定する法律は？,児童虐待の防止等に関する法律,児童福祉法,母子保健法,学校保健安全法,法律
42,児童相談所を規定する法律は？,児童福祉法,児童虐待の防止等に関する法律,母子保健法,学校保健安全法,法律
43,児童手当を規定する法律は？,児童手当法,児童福祉法,母子保健法,生活保護法,法律
44,母子健康手帳を規定する法律は？,母子保健法,児童福祉法,健康増進法,地域保健法,法律
45,妊婦健康診査を規定する法律は？,母子保健法,健康増進法,地域保健法,児童福祉法,法律
46,乳幼児健康診査を規定する法律は？,母子保健法,児童福祉法,健康増進法,学校保健安全法,法律
