id,question,correct,wrong1,wrong2,wrong3,difficulty
1,日本の首都はどこ？,東京,大阪,京都,名古屋,1
2,1+1は？,2,1,3,11,1
3,地球に最も近い恒星は？,太陽,月,火星,金星,1
4,一週間は何日？,7日,5日,6日,8日,1
5,犬は英語で？,dog,cat,bird,fish,1
6,日本で一番高い山は？,富士山,エベレスト,阿蘇山,桜島,1
7,虹は何色？,7色,5色,6色,8色,1
8,水の化学式は？,H2O,CO2,O2,H2,1
9,日本の都道府県の数は？,47,46,48,50,2
10,光の速さに最も近いのは？,秒速30万km,秒速30万m,秒速3万km,秒速300km,2
11,源氏物語の作者は？,紫式部,清少納言,小野小町,和泉式部,2
12,富士山の高さは約何m？,3776m,3000m,4000m,3500m,2
13,ピカソはどこの国の画家？,スペイン,フランス,イタリア,オランダ,2
14,人間の骨の数は約何本？,206本,180本,220本,250本,2
15,織田信長が倒された事件は？,本能寺の変,桶狭間の戦い,関ヶ原の戦い,大阪の陣,2
16,元素記号「Au」は何？,金,銀,銅,鉄,3
17,日本で最初のノーベル賞受賞者は？,湯川秀樹,野口英世,北里柴三郎,福澤諭吉,3
18,円周率πの小数第3位は？,4,1,5,9,3
19,世界で一番深い海溝は？,マリアナ海溝,日本海溝,トンガ海溝,フィリピン海溝,3
20,江戸幕府の初代征夷大将軍は？,徳川家康,徳川秀忠,徳川家光,徳川綱吉,3
21,音速は約時速何km？,約1200km,約800km,約1600km,約2000km,3
22,DNAの二重らせん構造を発見したのは？,ワトソンとクリック,メンデル,ダーウィン,パスツール,3
